date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:03	78998/78998	---M-Z	200	added ('OK')	text/html	etag:%2213496-660eda95-9dbba7553500ea06;gz%22	https://packdemusicas.com.br/playbacks.html	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/playbacks.html	(from )
15:34:04	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62b1dbfc-e51bf0e9698fbf24;gz%22	https://packdemusicas.com.br/robots.txt		(from )
15:34:25	6174/6174	---M-Z	200	added ('OK')	text/css	etag:%22181e-63c9c287-e33aa92c003ebc36;gz%22	https://packdemusicas.com.br/normalize.css	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/normalize.css	(from https://packdemusicas.com.br/playbacks.html)
15:34:25	1032/1032	---M-Z	200	added ('OK')	text/css	etag:%22408-63c9c288-b49a7a5b723de72a;gz%22	https://packdemusicas.com.br/reset.css	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/reset.css	(from https://packdemusicas.com.br/playbacks.html)
15:34:25	33031/33031	---M--	200	added ('OK')	image/png	etag:%228107-64b98ad1-2c0f9c4bde936e44;;;%22	https://packdemusicas.com.br/imgplayback/favicon.png	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/imgplayback/favicon.png	(from https://packdemusicas.com.br/playbacks.html)
15:34:26	480114/480114	---M--	200	added ('OK')	image/png	etag:%2275372-64b98ad2-8d6af3514c9c25c3;;;%22	https://packdemusicas.com.br/imgplayback/fundotopo.png	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/imgplayback/fundotopo.png	(from https://packdemusicas.com.br/playbacks.html)
15:34:26	106955/106955	---M--	200	added ('OK')	image/png	etag:%221a1cb-64b98ad1-f8c57a38e046dd1d;;;%22	https://packdemusicas.com.br/imgplayback/fundotopo_-mobile.png	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/imgplayback/fundotopo_-mobile.png	(from https://packdemusicas.com.br/playbacks.html)
15:34:26	14170/14170	---M--	200	added ('OK')	image/png	etag:%22375a-64b98ad1-12690548ca3a16fd;;;%22	https://packdemusicas.com.br/imgplayback/bg.png	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/imgplayback/bg.png	(from https://packdemusicas.com.br/playbacks.html)
15:34:26	16041/16041	---M--	200	added ('OK')	image/png	etag:%223ea9-64b98ad1-1536e0a3abc57368;;;%22	https://packdemusicas.com.br/imgplayback/disco.png	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/imgplayback/disco.png	(from https://packdemusicas.com.br/playbacks.html)
15:34:27	339/339	---M-Z	200	added ('OK')	application/x-javascript	etag:%22153-65aaad63-aa5f2b85ca0eedf4;gz%22	https://packdemusicas.com.br/spamblock/reset/banimento/script01/script.js	C:/Meus%20Sites/PlayBacks/20milPlaybacks/packdemusicas.com.br/spamblock/reset/banimento/script01/script.js	(from https://packdemusicas.com.br/playbacks.html)
15:34:48	23427/23427	---M-Z	200	added ('OK')	text/css	etag:%220d0c2111fc9da1:0+gzip%22	https://www.w3schools.com/w3css/4/w3.css	C:/Meus%20Sites/PlayBacks/20milPlaybacks/www.w3schools.com/w3css/4/w3.css	(from https://packdemusicas.com.br/playbacks.html)
